infraction_description,set_fine_amount,location2,province
PARK ON PRIVATE PROPERTY,30,141 ISSAC DEVINS BLVD,ON
PARK ON PRIVATE PROPERTY,30,141 LYON COURT,ON
PARK ON PRIVATE PROPERTY,30,141 LYON COURT,TN
PARK ON PRIVATE PROPERTY,30,141 LYON CRT,ON
PARK ON PRIVATE PROPERTY,30,141 LYON CT,ON
PARK ON PRIVATE PROPERTY,30,141 QUEEN ST E,ON
PARK ON PRIVATE PROPERTY,30,1410 DUPONT ST,KY
PARK ON PRIVATE PROPERTY,30,1410 DUPONT ST,ON
PARK ON PRIVATE PROPERTY,30,1414 DANFORTH AVE,ON
PARK ON PRIVATE PROPERTY,30,142 SPRINGHURST AVE,ON
PARK ON PRIVATE PROPERTY,30,142 WIDDICOMBE HILL B,ON
PARK ON PRIVATE PROPERTY,30,142 WIDDICOMBE HILL BL,ON
PARK ON PRIVATE PROPERTY,30,142 WIDDICOMBE HILL BLVD,ON
PARK ON PRIVATE PROPERTY,30,1420 DUPONT ST,ON
PARK ON PRIVATE PROPERTY,30,143 EIGHTH ST,ON
PARK ON PRIVATE PROPERTY,30,143 FREDERICK TISDALE DR,ON
PARK ON PRIVATE PROPERTY,30,1436 ROYAL YORK RD,ON
PARK ON PRIVATE PROPERTY,30,144 COLLEG ST,ON
PARK ON PRIVATE PROPERTY,30,144 COLLEGE ST,ON
PARK ON PRIVATE PROPERTY,30,144 JAMESTOWN CRES,ON
PARK ON PRIVATE PROPERTY,30,1441 LAWRENCE AVE E,ON
PARK ON PRIVATE PROPERTY,30,1441 WOODBINE AVE,ON
PARK ON PRIVATE PROPERTY,30,1442 LAWRENCE AVE W,ON
PARK ON PRIVATE PROPERTY,30,1447 KING ST W,ON
PARK ON PRIVATE PROPERTY,30,1447 ROYAL YORK RD,ON
PARK ON PRIVATE PROPERTY,30,1448 C LAWRENCE AVE E,ON
PARK ON PRIVATE PROPERTY,30,1448 LAWRENCE AVE E,ON
PARK ON PRIVATE PROPERTY,30,145 CARRIER DR,ON
PARK ON PRIVATE PROPERTY,30,145 CUMBERLAND ST,ON
PARK ON PRIVATE PROPERTY,30,145 ELM RIDGE DR,ON
PARK ON PRIVATE PROPERTY,30,145 ISAAC DEVINS BLVD,ON
PARK ON PRIVATE PROPERTY,30,145 LONG BRANCH AVE,ON
PARK ON PRIVATE PROPERTY,30,145 LONG BRANCH AVE,PQ
PARK ON PRIVATE PROPERTY,30,145 LONGBRANCH AVE,ON
PARK ON PRIVATE PROPERTY,30,145 MARLEE AVE,ON
PARK ON PRIVATE PROPERTY,30,145 MUTUAL ST,ON
PARK ON PRIVATE PROPERTY,30,145 NAPTUNE DR,ON
PARK ON PRIVATE PROPERTY,30,145 NEPTUNE DR ,ON
PARK ON PRIVATE PROPERTY,30,145 NEPTUNE DR,ON
PARK ON PRIVATE PROPERTY,30,145 NEPTUNE DRIVE,ON
PARK ON PRIVATE PROPERTY,30,145 NEPTUNE DRIVE,PQ
PARK ON PRIVATE PROPERTY,30,145 RICHMOND ST W,ON
PARK ON PRIVATE PROPERTY,30,145 SIR WILLIAM HEARST AVE,ON
PARK ON PRIVATE PROPERTY,30,145 STRATHMORE BLVD,ON
PARK ON PRIVATE PROPERTY,30,1450 MIDLAND AVE,ON
PARK ON PRIVATE PROPERTY,30,1450 SHEPPARD AVE W,ON
PARK ON PRIVATE PROPERTY,30,1453 DUNDAS ST W,ON
PARK ON PRIVATE PROPERTY,30,1455 WILSON AV,ON
PARK ON PRIVATE PROPERTY,30,1455 WILSON AVE,ON
PARK ON PRIVATE PROPERTY,30,146 HARRISON ST,ON
PARK ON PRIVATE PROPERTY,30,146 KENDAL AVE,ON
PARK ON PRIVATE PROPERTY,30,146 RUSTY CRESTWAY,ON
PARK ON PRIVATE PROPERTY,30,1462 MIDLAND AVE,ON
PARK ON PRIVATE PROPERTY,30,1465 LAWRENCE AVE W,ON
PARK ON PRIVATE PROPERTY,30,147 EIGHTH ST,ON
PARK ON PRIVATE PROPERTY,30,147 ISLINGTON AVE,ON
PARK ON PRIVATE PROPERTY,30,147 JAMESTOWN CR,ON
PARK ON PRIVATE PROPERTY,30,147 TURBINE DR,ON
PARK ON PRIVATE PROPERTY,30,1470 MIDLAND AVE,ON
PARK ON PRIVATE PROPERTY,30,1475 KINGSTON RD,ON
PARK ON PRIVATE PROPERTY,30,1475 THE QUEENSWAY,ON
PARK ON PRIVATE PROPERTY,30,148 ISLINGTON AVE,ON
PARK ON PRIVATE PROPERTY,30,148 TECUMSETH ST,ON
PARK ON PRIVATE PROPERTY,30,1483 BIRCHMOUNT RD,ON
PARK ON PRIVATE PROPERTY,30,149 COLLEGE ST,ON
PARK ON PRIVATE PROPERTY,30,149 ISAAC DEVINS BLVD,ON
PARK ON PRIVATE PROPERTY,30,149 JAMESTOWN CRES,ON
PARK ON PRIVATE PROPERTY,30,149 LONG BRANCH AVE,ON
PARK ON PRIVATE PROPERTY,30,149 MABELLE AVE,ON
PARK ON PRIVATE PROPERTY,30,1496 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,15 BASEBALL PL,ON
PARK ON PRIVATE PROPERTY,30,15 BEVERLEY ST,ON
PARK ON PRIVATE PROPERTY,30,15 BLOOR ST W,ON
PARK ON PRIVATE PROPERTY,30,15 BRANT ST,NS
PARK ON PRIVATE PROPERTY,30,15 BRANT ST,ON
PARK ON PRIVATE PROPERTY,30,15 BRANT ST,QC
PARK ON PRIVATE PROPERTY,30,15 BROOKBANKS DR,ON
PARK ON PRIVATE PROPERTY,30,15 BRUYERES MEWS,ON
PARK ON PRIVATE PROPERTY,30,15 BRYANT AVE,ON
PARK ON PRIVATE PROPERTY,30,15 COLONEL SAMUEL SMITH PARK DR,ON
PARK ON PRIVATE PROPERTY,30,15 COUGAR CRT,ON
PARK ON PRIVATE PROPERTY,30,15 DAN LECKIE WAY,ON
PARK ON PRIVATE PROPERTY,30,15 DEVONSHIRE PL,BC
PARK ON PRIVATE PROPERTY,30,15 DEVONSHIRE PL,ON
PARK ON PRIVATE PROPERTY,30,15 DEVONSHIRE PL,TX
PARK ON PRIVATE PROPERTY,30,15 DEVONSHIRE PLACE,ON
PARK ON PRIVATE PROPERTY,30,15 DEVONSHIRE PLACE,VT
PARK ON PRIVATE PROPERTY,30,15 DORNEY COURT,ON
PARK ON PRIVATE PROPERTY,30,15 EVA RD,ON
PARK ON PRIVATE PROPERTY,30,15 FIELD SPARROWAY,ON
PARK ON PRIVATE PROPERTY,30,15 FORT YORK BLVD,NT
PARK ON PRIVATE PROPERTY,30,15 FORT YORK BLVD,ON
PARK ON PRIVATE PROPERTY,30,15 FORT YORK BLVD,QC
PARK ON PRIVATE PROPERTY,30,15 FORT YORK BLVD,SK
PARK ON PRIVATE PROPERTY,30,15 FOUNDRY AVE,ON
PARK ON PRIVATE PROPERTY,30,15 GOODMARK PL,ON
PARK ON PRIVATE PROPERTY,30,15 GRASS MEADOWAY,ON
PARK ON PRIVATE PROPERTY,30,15 GREENVIEW AVE,ON
PARK ON PRIVATE PROPERTY,30,15 GRENVILLE ST,ON
PARK ON PRIVATE PROPERTY,30,15 HUNTINGWOOD DR,ON
PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER,MO
PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER,NJ
PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER,NS
PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER,NY
PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER,ON
PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER,QC
PARK ON PRIVATE PROPERTY,30,15 JAMES FINLAY WAY,ON
PARK ON PRIVATE PROPERTY,30,15 KING'S COLLEGE CIR,ON
PARK ON PRIVATE PROPERTY,30,15 KING'S COLLEGE CIRCLE,ON
PARK ON PRIVATE PROPERTY,30,15 KINGS COLLEGE CIR,ON
PARK ON PRIVATE PROPERTY,30,15 KINGS COLLEGE CIRCLE,ON
PARK ON PRIVATE PROPERTY,30,15 LA  ROSE AV,ON
PARK ON PRIVATE PROPERTY,30,15 LA ROSE AV,ON
PARK ON PRIVATE PROPERTY,30,15 LA ROSE AVE,ON
PARK ON PRIVATE PROPERTY,30,15 LEGION RD,FL
PARK ON PRIVATE PROPERTY,30,15 LEGION RD,ON
PARK ON PRIVATE PROPERTY,30,15 LOLA RD,ON
PARK ON PRIVATE PROPERTY,30,15 LONDON GREEN CRT,ON
PARK ON PRIVATE PROPERTY,30,15 MAITLAND PL,ON
PARK ON PRIVATE PROPERTY,30,15 MAPLE BRANCH PATH,ON
PARK ON PRIVATE PROPERTY,30,15 MARTHA EATON WAY,ON
PARK ON PRIVATE PROPERTY,30,15 MARTHA EATON WAY,PQ
PARK ON PRIVATE PROPERTY,30,15 MARTHA EATON WWY,ON
PARK ON PRIVATE PROPERTY,30,15 MARTHA EATON WY,ON
PARK ON PRIVATE PROPERTY,30,15 MARTHA EATON,ON
PARK ON PRIVATE PROPERTY,30,15 MARTHA EATON,PQ
PARK ON PRIVATE PROPERTY,30,15 MONTORO LANE,ON
PARK ON PRIVATE PROPERTY,30,15 NORTHTOWN WAY,ON
PARK ON PRIVATE PROPERTY,30,15 ORTON PARK RD,ON
PARK ON PRIVATE PROPERTY,30,15 ORTON PARK ROAD ,ON
PARK ON PRIVATE PROPERTY,30,15 OXFORD DR,ON
PARK ON PRIVATE PROPERTY,30,15 PAPE AVE,ON
PARK ON PRIVATE PROPERTY,30,15 PAPE AVE,VA
PARK ON PRIVATE PROPERTY,30,15 PEBBLE BYWAY,ON
PARK ON PRIVATE PROPERTY,30,15 PITTSBORO DR,NJ
PARK ON PRIVATE PROPERTY,30,15 PITTSBORO DR,OH
PARK ON PRIVATE PROPERTY,30,15 PITTSBORO DR,ON
PARK ON PRIVATE PROPERTY,30,15 PRICE ST,ON
PARK ON PRIVATE PROPERTY,30,15 ROCKFORD RD,ON
PARK ON PRIVATE PROPERTY,30,15 ROEHAMPTON AVE,NS
PARK ON PRIVATE PROPERTY,30,15 ROEHAMPTON AVE,ON
PARK ON PRIVATE PROPERTY,30,15 SCADDING AVE,ON
PARK ON PRIVATE PROPERTY,30,15 SCADDING,ON
PARK ON PRIVATE PROPERTY,30,15 SECORD AVE,ON
PARK ON PRIVATE PROPERTY,30,15 SEWELLS RD,ON
PARK ON PRIVATE PROPERTY,30,15 SHIRES LANE,ON
PARK ON PRIVATE PROPERTY,30,15 SINGER CRT,ON
PARK ON PRIVATE PROPERTY,30,15 SUMMER HILL AVE,ON
PARK ON PRIVATE PROPERTY,30,15 SUMMERHILL AVE,ON
PARK ON PRIVATE PROPERTY,30,15 TANGREEN CRT,ON
PARK ON PRIVATE PROPERTY,30,15 TOBERMORY DR,MA
PARK ON PRIVATE PROPERTY,30,15 TOBERMORY DR,ON
PARK ON PRIVATE PROPERTY,30,15 TOBERMORY DRIVE,ON
PARK ON PRIVATE PROPERTY,30,15 TORRANCE RD,ON
PARK ON PRIVATE PROPERTY,30,15 VALHALLA INN RD,ON
PARK ON PRIVATE PROPERTY,30,15 VICORA LINKWAY,ON
PARK ON PRIVATE PROPERTY,30,15 VIKING LANE,ON
PARK ON PRIVATE PROPERTY,30,15 VILLAGE GREEN SQ,ON
PARK ON PRIVATE PROPERTY,30,15 WINDERMERE AVE,ON
PARK ON PRIVATE PROPERTY,30,15 YORK ST,ON
PARK ON PRIVATE PROPERTY,30,15 YORK ST,QC
PARK ON PRIVATE PROPERTY,30,15 ZORRA ST,ON
PARK ON PRIVATE PROPERTY,30,150 ALTON TOWERS CRCL,ON
PARK ON PRIVATE PROPERTY,30,150 BAMBURGH CIR,ON
PARK ON PRIVATE PROPERTY,30,150 BLOOR ST W,ON
PARK ON PRIVATE PROPERTY,30,150 BURROWS HALL BLVD,ON
PARK ON PRIVATE PROPERTY,30,150 CHALKFARM DR,ON
PARK ON PRIVATE PROPERTY,30,150 CULFORD RD,ON
PARK ON PRIVATE PROPERTY,30,150 DAN LECKIE WAY ,ON
PARK ON PRIVATE PROPERTY,30,150 DAN LECKIE WAY,AB
PARK ON PRIVATE PROPERTY,30,150 DAN LECKIE WAY,NY
PARK ON PRIVATE PROPERTY,30,150 DAN LECKIE WAY,ON
PARK ON PRIVATE PROPERTY,30,150 DAN LECKIE WAY,PQ
PARK ON PRIVATE PROPERTY,30,150 DAN LECKIE WAY,TX
PARK ON PRIVATE PROPERTY,30,150 DAN LECKIEW AY,ON
PARK ON PRIVATE PROPERTY,30,150 DUNN AVE,ON
PARK ON PRIVATE PROPERTY,30,150 EAST LIBERTY ST,NF
PARK ON PRIVATE PROPERTY,30,150 EAST LIBERTY ST,ON
PARK ON PRIVATE PROPERTY,30,150 EGLINTO EAST,ON
PARK ON PRIVATE PROPERTY,30,150 EGLINTON EAST,MB
PARK ON PRIVATE PROPERTY,30,150 EGLINTON EAST,NS
PARK ON PRIVATE PROPERTY,30,150 EGLINTON EAST,ON
PARK ON PRIVATE PROPERTY,30,150 EGLINTON EST,ON
PARK ON PRIVATE PROPERTY,30,150 EGLINTONE AST,ON
PARK ON PRIVATE PROPERTY,30,150 EGLITON EAST,ON
PARK ON PRIVATE PROPERTY,30,150 ELIZABETH ST,ON
PARK ON PRIVATE PROPERTY,30,150 FAIRVIEW MALL DR,ON
PARK ON PRIVATE PROPERTY,30,150 FERMANAGH AVE,ON
PARK ON PRIVATE PROPERTY,30,150 GERRARD ST W,ON
PARK ON PRIVATE PROPERTY,30,150 GRAYDON HALL DR,ON
PARK ON PRIVATE PROPERTY,30,150 LONGBRANCH AVE,ON
PARK ON PRIVATE PROPERTY,30,150 MURISO BLVD,ON
PARK ON PRIVATE PROPERTY,30,150 MURISON BLVD,ON
PARK ON PRIVATE PROPERTY,30,150 QUEENS QUAY W,ON
PARK ON PRIVATE PROPERTY,30,150 RIVER ST,ON
PARK ON PRIVATE PROPERTY,30,150 SUDBURY ST,ON
PARK ON PRIVATE PROPERTY,30,1500 BAYVIEW AVE,ON
PARK ON PRIVATE PROPERTY,30,1500 KEELE ST,ON
PARK ON PRIVATE PROPERTY,30,1500 WOODBINE AVE,ON
PARK ON PRIVATE PROPERTY,30,1501 YONGE ST,ON
PARK ON PRIVATE PROPERTY,30,151 BEECROFT RD,ON
PARK ON PRIVATE PROPERTY,30,151 BLOOR ST W,ON
PARK ON PRIVATE PROPERTY,30,151 BLOOR ST W,QC
PARK ON PRIVATE PROPERTY,30,151 HIAWATHA RD,ON
PARK ON PRIVATE PROPERTY,30,151 REDPATH AV,ON
PARK ON PRIVATE PROPERTY,30,151 REDPATH AVE,ON
PARK ON PRIVATE PROPERTY,30,151 REDPATHA VE,ON
PARK ON PRIVATE PROPERTY,30,151 SPADINA RD,ON
PARK ON PRIVATE PROPERTY,30,151 VILLAGE GREEN SQ,ON
PARK ON PRIVATE PROPERTY,30,151 YONGE ST,ON
PARK ON PRIVATE PROPERTY,30,1515 BATHURST ST,ON
PARK ON PRIVATE PROPERTY,30,1515 DAVENPORT RD,QC
PARK ON PRIVATE PROPERTY,30,152 EGLINTON EAST,ON
PARK ON PRIVATE PROPERTY,30,152 PARK LAWN RD,ON
PARK ON PRIVATE PROPERTY,30,152 ST GEORGE ST,ON
PARK ON PRIVATE PROPERTY,30,1525 DUNDAS ST W,ON
PARK ON PRIVATE PROPERTY,30,1528 DUNDAS ST W,ON
PARK ON PRIVATE PROPERTY,30,153 BEECROFT RD,ON
PARK ON PRIVATE PROPERTY,30,153 GEORGE ST,NY
PARK ON PRIVATE PROPERTY,30,153 ISAAC DEVINS BLVD,ON
PARK ON PRIVATE PROPERTY,30,153 ISSAC DEVINS BLVD,ON
PARK ON PRIVATE PROPERTY,30,1533 JANE ST,ON
PARK ON PRIVATE PROPERTY,30,1539 JANE ST,ON
PARK ON PRIVATE PROPERTY,30,154 INDIAN RD,ON
PARK ON PRIVATE PROPERTY,30,154 LAMB AVE,ON
PARK ON PRIVATE PROPERTY,30,154 PEARL ST,ON
PARK ON PRIVATE PROPERTY,30,1541 DAVENPORT RD,ON
PARK ON PRIVATE PROPERTY,30,1544 DUNDAS ST W,ON
PARK ON PRIVATE PROPERTY,30,155 ANTIBES DR,ON
PARK ON PRIVATE PROPERTY,30,155 ANTIBES DR,QC
PARK ON PRIVATE PROPERTY,30,155 COLLEGE ST,ON
PARK ON PRIVATE PROPERTY,30,155 EMMETT AVE,ON
PARK ON PRIVATE PROPERTY,30,155 GORDON BAKER RD,ON
PARK ON PRIVATE PROPERTY,30,155 LEGION RD N,AB
PARK ON PRIVATE PROPERTY,30,155 LEGION RD N,BC
PARK ON PRIVATE PROPERTY,30,155 LEGION RD N,MB
PARK ON PRIVATE PROPERTY,30,155 LEGION RD N,MI
PARK ON PRIVATE PROPERTY,30,155 LEGION RD N,ON
PARK ON PRIVATE PROPERTY,30,155 LEGION RD,ON
PARK ON PRIVATE PROPERTY,30,155 QUEENS QUAY E,ON
PARK ON PRIVATE PROPERTY,30,155 REDPATH AV,ON
PARK ON PRIVATE PROPERTY,30,155 REDPATH AVE,NS
PARK ON PRIVATE PROPERTY,30,155 REDPATH AVE,ON
PARK ON PRIVATE PROPERTY,30,155 RED[ATJ AVE,ON
PARK ON PRIVATE PROPERTY,30,155 TRANSCENT CRESCENT,ON
PARK ON PRIVATE PROPERTY,30,155 WELLINGTON ST W,ON
PARK ON PRIVATE PROPERTY,30,155 YORKVILLE AVE,ON
PARK ON PRIVATE PROPERTY,30,1555 BIRCHMOUNT RD,ON
PARK ON PRIVATE PROPERTY,30,1555 QUEEN ST E,ON
PARK ON PRIVATE PROPERTY,30,1559 ALBION RD,ON
PARK ON PRIVATE PROPERTY,30,156 KINGSVIEW BLVD,ON
PARK ON PRIVATE PROPERTY,30,1561 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1565 QUEEN ST E,ON
PARK ON PRIVATE PROPERTY,30,157 REDPATH AVE,ON
PARK ON PRIVATE PROPERTY,30,1570 JANE ST,ON
PARK ON PRIVATE PROPERTY,30,1571 SANDHURST CRCL,ON
PARK ON PRIVATE PROPERTY,30,1571 WILSON AVE,ON
PARK ON PRIVATE PROPERTY,30,1572 EGLINTON AVE W,ON
PARK ON PRIVATE PROPERTY,30,1575 GULLIVER RD,ON
PARK ON PRIVATE PROPERTY,30,1575 LAWRENCE AVE W,ON
PARK ON PRIVATE PROPERTY,30,1575 QUEEN ST E,ON
PARK ON PRIVATE PROPERTY,30,1577 LAWRENCE AVE W,ON
PARK ON PRIVATE PROPERTY,30,1585 ALBION RD,ON
PARK ON PRIVATE PROPERTY,30,1585 ALBION,ON
PARK ON PRIVATE PROPERTY,30,1585 MARKHAM RD,ON
PARK ON PRIVATE PROPERTY,30,1586 QUEEN ST W,ON
PARK ON PRIVATE PROPERTY,30,1589 ALBION RD,ON
PARK ON PRIVATE PROPERTY,30,159 HURON ST,ON
PARK ON PRIVATE PROPERTY,30,159 SIR WILLIAM HEARST AVE,ON
PARK ON PRIVATE PROPERTY,30,1591 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,1594 VICTORIA PARK AV,ON
PARK ON PRIVATE PROPERTY,30,1596 WESTON RD,ON
PARK ON PRIVATE PROPERTY,30,16 BANCROFT RD,ON
PARK ON PRIVATE PROPERTY,30,16 BLOORVIEW PL,AB
PARK ON PRIVATE PROPERTY,30,16 BLOORVIEW PL,ON
PARK ON PRIVATE PROPERTY,30,16 BONNYCASTLE ST,ON
PARK ON PRIVATE PROPERTY,30,16 BROOKERS LANE,ON
PARK ON PRIVATE PROPERTY,30,16 CARLUKE CRES,ON
PARK ON PRIVATE PROPERTY,30,16 CARLUKE CRESCENT,ON
PARK ON PRIVATE PROPERTY,30,16 CARLUKE CRESCENT,PQ
PARK ON PRIVATE PROPERTY,30,16 DALLIMORE CIR,ON
PARK ON PRIVATE PROPERTY,30,16 ELPHICK LANE,ON
PARK ON PRIVATE PROPERTY,30,16 GOULD ST,ON
PARK ON PRIVATE PROPERTY,30,16 GUILDPARK PATHWAY,ON
PARK ON PRIVATE PROPERTY,30,16 HARBOUR ST,ON
PARK ON PRIVATE PROPERTY,30,16 HARRISON GARDEN BLVD,ON
PARK ON PRIVATE PROPERTY,30,16 JEREMIAH LANE,ON
PARK ON PRIVATE PROPERTY,30,16 MCADAM AVE,ON
PARK ON PRIVATE PROPERTY,30,16 PIN LANE,ON
PARK ON PRIVATE PROPERTY,30,16 THE LINKS RD,ON
PARK ON PRIVATE PROPERTY,30,16 YONGE ST,BC
PARK ON PRIVATE PROPERTY,30,16 YONGE ST,ON
PARK ON PRIVATE PROPERTY,30,16 YONGE ST,QC
PARK ON PRIVATE PROPERTY,30,16 YORK DOWNS DR,ON
PARK ON PRIVATE PROPERTY,30,160 BLOOR ST E,ON
PARK ON PRIVATE PROPERTY,30,160 CACTUS AVE,ON
PARK ON PRIVATE PROPERTY,30,160 CHALFARM DR,ON
PARK ON PRIVATE PROPERTY,30,160 CHALFKARM DR,ON
PARK ON PRIVATE PROPERTY,30,160 CHALKFARM DR,ON
PARK ON PRIVATE PROPERTY,30,160 CHALKFARM DR,PA
PARK ON PRIVATE PROPERTY,30,160 CHESTER LE BLVD,NB
PARK ON PRIVATE PROPERTY,30,160 CHESTER LE BLVD,ON
PARK ON PRIVATE PROPERTY,30,160 CHESTER LE BLVD,PQ
PARK ON PRIVATE PROPERTY,30,160 CHESTER LE,ON
PARK ON PRIVATE PROPERTY,30,160 CHESTER LE,PQ
PARK ON PRIVATE PROPERTY,30,160 DAN LECKIE WAY,ON
PARK ON PRIVATE PROPERTY,30,160 ELPHICK LANE,ON
PARK ON PRIVATE PROPERTY,30,160 ERSKINE AVE,BC
PARK ON PRIVATE PROPERTY,30,160 ERSKINE AVE,ON
PARK ON PRIVATE PROPERTY,30,160 FLEMINGTON RD,ON
PARK ON PRIVATE PROPERTY,30,160 HORNER AVE,ON
PARK ON PRIVATE PROPERTY,30,160 KENDAL AVE,ON
PARK ON PRIVATE PROPERTY,30,160 ST GEORGE ST,ON
PARK ON PRIVATE PROPERTY,30,160 TRANSIT RD,ON
PARK ON PRIVATE PROPERTY,30,160 TRANSIT RD,QC
PARK ON PRIVATE PROPERTY,30,160 VANDERHOOF AVE,ON
PARK ON PRIVATE PROPERTY,30,1600 BRIMLEY RD,ON
PARK ON PRIVATE PROPERTY,30,1601 ALBION RD,ON
PARK ON PRIVATE PROPERTY,30,1604 THE QUEENSWAY,ON
PARK ON PRIVATE PROPERTY,30,1609 DUFFERIN ST,ON
PARK ON PRIVATE PROPERTY,30,161  ISSAC DEVINS BLVD,ON
PARK ON PRIVATE PROPERTY,30,161 COXWELL AVE,ON
PARK ON PRIVATE PROPERTY,30,161 GALLOWAY RD,ON
PARK ON PRIVATE PROPERTY,30,161 ISAAC DEVINS BLVD,ON
PARK ON PRIVATE PROPERTY,30,161 OAKWOOD AVE,OH
PARK ON PRIVATE PROPERTY,30,161 TWELFTH ST,ON
PARK ON PRIVATE PROPERTY,30,161 WILLIAM DUNCAN RD,ON
PARK ON PRIVATE PROPERTY,30,1613 BAYVIEW AVE,ON
PARK ON PRIVATE PROPERTY,30,1615 DUNDAS ST E,ON
PARK ON PRIVATE PROPERTY,30,1615 DUNDAS ST E,PQ
PARK ON PRIVATE PROPERTY,30,162 CUMBERLAND ST,ID
PARK ON PRIVATE PROPERTY,30,162 CUMBERLAND ST,NY
PARK ON PRIVATE PROPERTY,30,162 CUMBERLAND ST,ON
PARK ON PRIVATE PROPERTY,30,162 CUMBERLAND ST,QC
PARK ON PRIVATE PROPERTY,30,162 DANZIG ST,ON
PARK ON PRIVATE PROPERTY,30,162 QUEENS QUAY E,ON
PARK ON PRIVATE PROPERTY,30,162 QUEENS QUAY W,ON
PARK ON PRIVATE PROPERTY,30,162 ST GEORGE ST,ON
PARK ON PRIVATE PROPERTY,30,162 ST GEORGE ST,PA
PARK ON PRIVATE PROPERTY,30,1621 ALBION RD,ON
PARK ON PRIVATE PROPERTY,30,1622 EGLINTON AVE W,ON
PARK ON PRIVATE PROPERTY,30,1625 WILSON AVE,ON
PARK ON PRIVATE PROPERTY,30,1630 DANFORTH AVE,ON
PARK ON PRIVATE PROPERTY,30,1631 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,164 JENKINSON WAY,ON
PARK ON PRIVATE PROPERTY,30,1640 QUEEN ST E,ON
PARK ON PRIVATE PROPERTY,30,1641 QUEEN ST E,ON
PARK ON PRIVATE PROPERTY,30,1645 LAWRENCE AVE W,ON
PARK ON PRIVATE PROPERTY,30,1646 QUEEN ST E,ON
PARK ON PRIVATE PROPERTY,30,165 BARRINGTON AVE,ON
PARK ON PRIVATE PROPERTY,30,165 FRONT ST E,ON
PARK ON PRIVATE PROPERTY,30,165 GRANGE AVE,ON
PARK ON PRIVATE PROPERTY,30,165 LEGION RD N,AB
PARK ON PRIVATE PROPERTY,30,165 LEGION RD N,BC
PARK ON PRIVATE PROPERTY,30,165 LEGION RD N,ON
PARK ON PRIVATE PROPERTY,30,165 LEGION RD N,QC
PARK ON PRIVATE PROPERTY,30,165 THE QUEENSWAY,ON
PARK ON PRIVATE PROPERTY,30,1652 KEELE ST,ON
PARK ON PRIVATE PROPERTY,30,1655 DUPONT ST,ON
PARK ON PRIVATE PROPERTY,30,166 WILSON AVE,ON
PARK ON PRIVATE PROPERTY,30,1665 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1666 EGLINTON AVE W,ON
PARK ON PRIVATE PROPERTY,30,1667 ALBION RD,ON
PARK ON PRIVATE PROPERTY,30,167 CHURCH ST,ON
PARK ON PRIVATE PROPERTY,30,167 CHURCH ST,PQ
PARK ON PRIVATE PROPERTY,30,167 COLLEGE ST,ON
PARK ON PRIVATE PROPERTY,30,167 COLLEGE STREET,ON
PARK ON PRIVATE PROPERTY,30,167 SHAUGHNESSY BOULEVARD,ON
PARK ON PRIVATE PROPERTY,30,1674 EGLINTON AVE W,ON
PARK ON PRIVATE PROPERTY,30,168 SIMCOE ST,ON
PARK ON PRIVATE PROPERTY,30,1680 MIDLAND AV,ON
PARK ON PRIVATE PROPERTY,30,1680 MIDLAND AVE,ON
PARK ON PRIVATE PROPERTY,30,1684 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,169 FORT YORK BLVD,ON
PARK ON PRIVATE PROPERTY,30,169 FORT YORK BLVD,QC
PARK ON PRIVATE PROPERTY,30,169 SHAUGHNESSY BLVD,ON
PARK ON PRIVATE PROPERTY,30,169 SHAUGHNESSY BOULEVARD,ON
PARK ON PRIVATE PROPERTY,30,1690 VICTORIA PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,1695 NEILSON RD,ON
PARK ON PRIVATE PROPERTY,30,17 ANNDALE DR,ON
PARK ON PRIVATE PROPERTY,30,17 ANNDALE DRIVE,ON
PARK ON PRIVATE PROPERTY,30,17 ANTHONY RD,ON
PARK ON PRIVATE PROPERTY,30,17 BARBERRY PL,ON
PARK ON PRIVATE PROPERTY,30,17 BRIMLEY RD,ON
PARK ON PRIVATE PROPERTY,30,17 CANE GRASSWAY,ON
PARK ON PRIVATE PROPERTY,30,17 DENNIS DR,ON
PARK ON PRIVATE PROPERTY,30,17 DERRYDOWN RD,ON
PARK ON PRIVATE PROPERTY,30,17 DURNFORD RD,ON
PARK ON PRIVATE PROPERTY,30,17 GLEN MORRIS ST,ON
PARK ON PRIVATE PROPERTY,30,17 GLEN MORRIS ST,SK
PARK ON PRIVATE PROPERTY,30,17 GLEN MORRIS STREET,ON
PARK ON PRIVATE PROPERTY,30,17 KENASTON GDNS,ON
PARK ON PRIVATE PROPERTY,30,17 LESLIE ST,ON
PARK ON PRIVATE PROPERTY,30,17 MCCORMACK ST,ON
